keyword,frequency,avg_score
genai education,145,0.885568275862069
creative,82,0.8874353658536586
adoption,77,0.8663025974025973
education genai,63,0.8751047619047619
educational,60,0.8660866666666667
educational setting,59,0.8711033898305085
generative,47,0.8716404255319149
ai education,47,0.8749787234042554
professional,42,0.8717428571428572
student learn,42,0.8699142857142858
genai,40,0.8784924999999999
ai literacy,40,0.8631675
enhance student,39,0.8718589743589743
healthcare,38,0.8729210526315789
genai adoption,38,0.8725184210526314
educational practice,36,0.8710444444444445
educational context,35,0.8733885714285714
education,33,0.8614272727272727
research,33,0.8795454545454545
education ai,33,0.8793757575757576
pedagogy,32,0.871440625
genai teaching,31,0.8754483870967742
student engagement,31,0.8718677419354839
education research,31,0.8742580645161291
impact student,30,0.8723266666666666
student use,29,0.8673931034482758
education study,29,0.8676655172413793
genai tool,27,0.8751037037037037
pedagogical,27,0.8670296296296297
academic integrity,27,0.8632296296296297
adoption genai,27,0.8703925925925925
genai student,25,0.8761239999999999
explore student,24,0.8685625
machinegenerated text,23,0.9000739130434782
student genai,23,0.867595652173913
genai academic,23,0.8708695652173913
language education,22,0.87885
genai healthcare,22,0.8852590909090909
academic writing,21,0.8779333333333332
genai educational,21,0.8781000000000001
genai innovation,20,0.8907550000000001
education systematic,19,0.8833684210526315
supply chain,19,0.8564157894736841
collaborative learning,18,0.87975
student write,18,0.8752722222222222
student learning,18,0.8808888888888888
design education,18,0.8758333333333334
framework,17,0.8664588235294118
student experience,17,0.8712235294117647
genai llm,17,0.8847352941176471
education chatgpt,17,0.8777176470588236
developer,16,0.87635
educational landscape,16,0.88186875
genai literacy,16,0.87455625
genai chatbot,16,0.8628875
prompt engineering,15,0.872
creative process,15,0.8899533333333333
genai design,15,0.88572
curriculum design,15,0.8754466666666667
educational assessment,15,0.9024666666666668
education assessment,15,0.8782533333333333
education aie,15,0.8839133333333333
deploy,14,0.8731571428571429
business,14,0.8815642857142858
teaching learning,14,0.8733642857142857
chatgpt education,14,0.8889571428571428
innovation,14,0.8795000000000001
genai detection,14,0.8836142857142857
curriculum,14,0.8519714285714286
research genai,14,0.8893571428571428
cybersecurity genai,14,0.8828142857142858
digital literacy,13,0.8698153846153847
software development,13,0.8705769230769231
programming education,13,0.8733923076923078
genai university,13,0.8637153846153847
genai classroom,13,0.8794461538461539
foster,13,0.8618384615384616
governance,13,0.8728307692307692
learner,13,0.8621846153846154
chatgpt educational,13,0.8806769230769231
assess student,13,0.8796153846153847
knowledge management,13,0.8708538461538461
stem education,13,0.8765692307692308
educational resource,12,0.8752166666666666
tool education,12,0.86695
tutoring,12,0.8805583333333332
12 education,12,0.8707333333333334
qualitative research,12,0.9003583333333333
genai marketing,12,0.8887666666666667
tool student,12,0.8780416666666667
genai cybersecurity,12,0.8922583333333334
cybersecurity,12,0.877625
education llm,12,0.875625
educator genai,12,0.8743833333333333
education academic,12,0.8679333333333333
educational environment,11,0.8687818181818181
enterprise,11,0.8705999999999999
student engage,11,0.8664818181818181
educational experience,11,0.8664000000000001
genai business,11,0.9028545454545455
teacher education,11,0.8596090909090909
academic research,11,0.8879
language teaching,11,0.8745
student perspective,11,0.8620454545454546
instructional design,11,0.8793454545454545
educational research,11,0.8843181818181818
literacy,11,0.8632636363636365
use student,11,0.8650636363636365
trust genai,11,0.887290909090909
brand,11,0.8870272727272728
learning research,11,0.876190909090909
enhance educational,11,0.8712363636363637
feedback student,10,0.8824799999999999
student,10,0.8534
learn analytic,10,0.87507
tool teaching,10,0.8614900000000001
educational tool,10,0.8691800000000001
deep,10,0.86531
teaching learn,10,0.86669
impact education,10,0.88619
technology acceptance,10,0.87238
student interaction,10,0.8671599999999999
genai governance,10,0.88787
learning assessment,10,0.87074
genai creative,10,0.89925
educational material,10,0.8855700000000001
student work,10,0.87482
teach genai,10,0.8803599999999999
student critical,10,0.8754099999999999
medical education,10,0.85871
conversational agent,9,0.8739
science education,9,0.8673222222222222
text generation,9,0.8889777777777778
literacy education,9,0.8786333333333334
assessment chatgpt,9,0.8691666666666666
student research,9,0.8763111111111112
genai agent,9,0.8728444444444444
technology,9,0.8506222222222222
learning experience,9,0.8690444444444444
high education,9,0.8595333333333334
course,9,0.8690777777777777
pedagogy genai,9,0.8863555555555556
learning design,9,0.8836888888888889
curriculum development,9,0.8856222222222222
educational content,9,0.8728222222222223
educational goal,9,0.8778999999999999
educational policy,9,0.8729111111111112
education review,9,0.8832
learning process,9,0.8658555555555556
genai service,9,0.8719444444444444
software engineering,9,0.8708555555555555
genai nursing,8,0.8584499999999999
conversational ai,8,0.8777875
integration education,8,0.8562125
experiential learning,8,0.8595875000000001
academic write,8,0.8757625
educational process,8,0.8647125
feedback genai,8,0.885825
learn design,8,0.8774
student study,8,0.880175
architecture,8,0.865275
health care,8,0.865625
chatbot education,8,0.88415
interactive learning,8,0.8736875
learning context,8,0.862625
education inform,8,0.877725
ensure academic,8,0.8723625
genai pedagogical,8,0.876325
governance genai,8,0.8839
conversational,8,0.8699625
use generative,8,0.8775125
multiagent,8,0.8752
innovation genai,8,0.8846375
genai school,8,0.875425
design genai,8,0.880925
creation,8,0.875675
english learning,8,0.888375
impact teaching,8,0.8709625
educational approach,8,0.861775
personalize learning,8,0.87535
technology education,8,0.8795999999999999
language teach,8,0.8756125
chatgpt teaching,8,0.8722375
educator student,8,0.8585375
application genai,8,0.8740375
research process,8,0.891925
enrich,8,0.8686875000000001
education explore,8,0.86935
genai organizational,7,0.8651857142857143
education chapter,7,0.8685
education learn,7,0.8718428571428571
drug discovery,7,0.8861428571428572
language learner,7,0.8656714285714286
genai teacher,7,0.8715571428571429
education practice,7,0.8536142857142857
consumer,7,0.8811714285714285
educational challenge,7,0.8769142857142856
framework genai,7,0.8863714285714286
curricula,7,0.8625142857142858
aigenerate content,7,0.8761571428571429
genai chatgpt,7,0.88
code generation,7,0.8731142857142856
genai public,7,0.8713571428571428
genai feedback,7,0.8831285714285714
game design,7,0.8839714285714286
learn academic,7,0.8753428571428571
genai technology,7,0.8775000000000001
inclusive learning,7,0.8685571428571429
language teacher,7,0.8592857142857143
teaching research,7,0.8909571428571429
course study,7,0.8664857142857143
professional learning,7,0.8775857142857142
student develop,7,0.8639285714285715
chatgpt genai,7,0.8820571428571429
enhance academic,7,0.8668857142857143
genai application,7,0.8887142857142857
genai instructional,7,0.8680428571428571
education educational,7,0.873942857142857
design research,7,0.8847714285714287
chatgpt,7,0.8602142857142857
learn outcome,7,0.8558857142857142
student creativity,7,0.8789428571428571
thinking genai,7,0.8731285714285715
genai enterprise,7,0.8875714285714286
employee,7,0.8643571428571429
include education,7,0.8837
chatbot genai,7,0.8560428571428572
digital learning,7,0.8745857142857142
ai cybersecurity,7,0.8836857142857143
assessment academic,7,0.8637285714285714
support learning,7,0.8521
genai content,7,0.8964857142857143
genai legal,7,0.8799
genai health,7,0.8849428571428571
education institution,7,0.8614714285714287
lifelong learning,7,0.9001571428571429
research study,7,0.8785285714285714
design,7,0.8553142857142857
content generation,7,0.8724571428571428
generative adversarial,7,0.8505285714285714
future education,7,0.8868714285714285
process student,7,0.8654142857142857
course design,6,0.87545
course genai,6,0.8811
creativity,6,0.8906166666666667
reflective,6,0.8669833333333333
genai preservice,6,0.8537833333333333
blockchain,6,0.8610666666666668
business process,6,0.8852833333333333
strategy student,6,0.87475
text detection,6,0.8881833333333334
academic essay,6,0.8765333333333333
use genai,6,0.8848666666666666
education focus,6,0.8712666666666666
cybersecurity challenge,6,0.8786499999999999
ai governance,6,0.8720666666666667
learning use,6,0.8696833333333333
language learning,6,0.8783333333333333
game development,6,0.9238333333333334
assessment genai,6,0.8539333333333333
teachers genai,6,0.8789166666666667
genai research,6,0.8814833333333333
genai manufacturing,6,0.8662166666666667
